値,場名,場略名(1文字),場略名(2文字),場略名(3文字),場欧字名,場欧字略名(3文字)
0,,,,,,
1,札幌競馬場,札,札幌,札幌,SAPPORO,
2,函館競馬場,函,函館,函館,HAKODATE,
3,福島競馬場,福,福島,福島,FUKUSHIMA,
4,新潟競馬場,新,新潟,新潟,NIIGATA,
5,東京競馬場,東,東京,東京,TOKYO,
6,中山競馬場,中,中山,中山,NAKAYAMA,
7,中京競馬場,名,中京,中京,CHUKYO,
8,京都競馬場,京,京都,京都,KYOTO,
9,阪神競馬場,阪,阪神,阪神,HANSHIN,
10,小倉競馬場,小,小倉,小倉,KOKURA,
30,門別競馬場,門,門別,門別,MONBETSU,
31,北見競馬場,北,北見,北見,KITAMI,
32,岩見沢競馬場,岩,岩見,岩見沢,IWAMIZAWA,
33,帯広競馬場,帯,帯広,帯広,OBIHIRO,
34,旭川競馬場,旭,旭川,旭川,ASAHIKAWA,
35,盛岡競馬場,盛,盛岡,盛岡,MORIOKA,
36,水沢競馬場,水,水沢,水沢,MIZUSAWA,
37,上山競馬場,上,上山,上山,KAMINOYAMA,
38,三条競馬場,三,三条,三条,SANJYO,
39,足利競馬場,足,足利,足利,ASHIKAGA,
40,宇都宮競馬場,宇,宇都,宇都宮,UTSUNOMIYA,
41,高崎競馬場,高,高崎,高崎,TAKASAKI,
42,浦和競馬場,浦,浦和,浦和,URAWA,
43,船橋競馬場,船,船橋,船橋,FUNABASHI,
44,大井競馬場,大,大井,大井,OHI,
45,川崎競馬場,川,川崎,川崎,KAWASAKI,
46,金沢競馬場,金,金沢,金沢,KANAZAWA,
47,笠松競馬場,笠,笠松,笠松,KASAMATSU,
48,名古屋競馬場,古,名古,名古屋,NAGOYA,
49,紀三井寺競馬場,紀,紀三,紀三寺,KIMIIDERA,
50,園田競馬場,園,園田,園田,SONODA,
51,姫路競馬場,姫,姫路,姫路,HIMEJI,
52,益田競馬場,益,益田,益田,MASUDA,
53,福山競馬場,福,福山,福山,FUKUYAMA,
54,高知競馬場,高,高知,高知,KOCHI,
55,佐賀競馬場,佐,佐賀,佐賀,SAGA,
56,荒尾競馬場,荒,荒尾,荒尾,ARAO,
57,中津競馬場,中,中津,中津,NAKATSU,
58,札幌競馬場（地方競馬）,札,札幌,札幌,SAPPORO(NAR),
59,函館競馬場（地方競馬）,函,函館,函館,HAKODATE(NAR),
60,新潟競馬場（地方競馬）,新,新潟,新潟,NIIGATA(NAR),
61,中京競馬場（地方競馬）,名,中京,中京,CHUKYO(NAR),
A0,その他の外国,外,他外,他外国,,
A2,日本,日,日本,日本,Japan,JPN
A4,アメリカ,米,アメ,アメリ,United States of America,USA
A6,イギリス,英,イギ,イギリ,Great Britain,GB
A8,フランス,仏,フラ,フラン,France,FR
B0,インド,印,イン,インド,India,IND
B2,アイルランド,愛,アイ,アイル,Ireland,IRE
B4,ニュージーランド,新,ニュ,ニュー,New Zealand,NZ
B6,オーストラリア,豪,オー,オース,Australia,AUS
B8,カナダ,加,カナ,カナダ,Canada,CAN
C0,イタリア,伊,イタ,イタリ,Italy,ITY
C2,ドイツ,独,ドイ,ドイツ,Germany,GER
C5,オマーン,オ,オマ,オマー,Oman,OMN
C6,イラク,イ,イラ,イラク,Iraq,IRQ
C7,アラブ首長国連邦,首 (ア),ア首,アラブ,United Arab Emirates,UAE
C8,シリア,叙,シリ,シリア,Syrian,SYR
D0,スウェーデン,瑞,スウ,スウェ,Sweden,SWE
D2,ハンガリー,洪,ハン,ハンガ,Hungary,HUN
D4,ポルトガル,葡,ポル,ポルト,Portugal,POR
D6,ロシア,露,ロシ,ロシア,Russia,RUS
D8,ウルグアイ,宇,ウル,ウルグ,Uruguay,URU
E0,ペルー,秘,ペル,ペルー,Peru,PER
E2,アルゼンチン,亜,アル,アルゼ,Argentina,ARG
E4,ブラジル,伯,ブラ,ブラジ,Brazil,BRZ
E6,ベルギー,白,ベル,ベルギ,Belgium,BEL
E8,トルコ,土,トル,トルコ,Turkey,TUR
F0,韓国,韓,韓国,韓国,Korea,KOR
F1,中国,中,中国,中国,China,CHN
F2,チリ,智,チリ,チリ,Chile,CHI
F8,パナマ,巴,パナ,パナマ,Panama,PAN
G0,香港,香,香港,香港,Hong Kong,HK
G2,スペイン,西,スペ,スペイ,Spain,SPA
H0,西ドイツ,独,西独,西独,West Germany,GER
H2,南アフリカ,南 (阿),南ア,南アフ,South Africa,SAF
H4,スイス,ス,スイ,スイス,Switzerland,SWI
H6,モナコ,モ,モナ,モナコ,Monaco,MCO
H8,フィリピン,比,フィ,フィリ,Philippines,PHI
I0,プエルトリコ,プ,プエ,プエル,Puerto Rico,PUE
I2,コロンビア,コ,コロ,コロン,Colombia,COL
I4,チェコスロバキア,チ,チェ,チェコ,Czechoslovakia,CZE
I6,チェコ,チ,チェ,チェコ,Czech Republic,CZE
I8,スロバキア,ス,スロ,スロバ,Slovakia,SLO
J0,エクアドル,エ,エク,エクア,Ecuador,ECU
J2,ギリシャ,ギ,ギリ,ギリシ,Greece,GR
J4,マレーシア,馬,マレ,マレー,Malaysia,MAL
J6,メキシコ,墨,メキ,メキシ,Mexico,MEX
J8,モロッコ,摩,モロ,モロッ,Morocco,MOR
K0,パキスタン,基,パキ,パキス,Pakistan,PAK
K2,ポーランド,波,ポー,ポーラ,Poland,POL
K4,パラグアイ,拉,パラ,パラグ,Paraguay,PRY
K6,サウジアラビア,サ,サウ,サウジ,Saudi Arabia,SDA
K8,キプロス,キ,キプ,キプロ,Cyprus,CYP
L0,タイ,泰,タイ,タイ,Thailand,THA
L2,ウクライナ,烏,ウク,ウクラ,Ukraine,UKR
L4,ベネズエラ,ベ,ベネ,ベネゼ,Venezuela,VEN
L6,ユーゴスラビア,ユ,ユー,ユーゴ,Yugoslavia,YUG
L8,デンマーク,丁,デン,デンマ,Denmark,DEN
M0,シンガポール,嘉,シン,シンガ,Singapore,SIN
M2,マカオ,澳,澳門,マカオ,Macau,MAC
M4,オーストリア,墺,墺,墺国,Austria,AUT
M6,ヨルダン,約,約,ヨルダ,Jordan,JOR
M8,カタール,華,華,カタル,Qatar,QAT