値,名称,,略名(6文字),,欧字名
0,,,,,
10,平地 芝   直線,,芝・直,,Turf Str.
11,平地 芝   左回り,,芝・左,,Turf
12,平地 芝   左回り  外回り,,芝・左外,,Turf
13,平地 芝   左回り  内－外回り,,芝・左内→外,,Turf
14,平地 芝   左回り  外－内回り,,芝・左外→内,,Turf
15,平地 芝   左回り  内２周,,芝・左内２周,,Turf
16,平地 芝   左回り  外２周,,芝・左外２周,,Turf
17,平地 芝   右回り,,芝・右,,Turf
18,平地 芝   右回り  外回り,,芝・右外,,Turf
19,平地 芝   右回り  内－外回り,,芝・右内→外,,Turf
20,平地 芝   右回り  外－内回り,,芝・右外→内,,Turf
21,平地 芝   右回り  内２周,,芝・右内２周,,Turf
22,平地 芝   右回り  外２周,,芝・右外２周,,Turf
23,平地 ダート  左回り,,ダート・左,,Dirt
24,平地 ダート  右回り,,ダート・右,,Dirt
25,平地 ダート 左回り 内回り,,ダート・左内,,Dirt
26,平地 ダート 右回り 外回り,,ダート・右外,,Dirt
27,平地 サンド 左回り,,サンド・左,,Sand
28,平地 サンド 右回り,,サンド・右,,Sand
29,平地 ダート  直線,,ダート・直,,Dirt Str.
51,障害 芝  襷,,芝・襷,,Turf
52,障害 芝 ダート,,芝→ダート,,Turf→Dirt
53,障害 芝・左,,芝・左,,Turf
54,障害 芝,,芝,,Turf
55,障害 芝  外回り,,芝・外,,Turf
56,障害 芝  外－内回り,,芝・外→内,,Turf
57,障害 芝  内－外回り,,芝・内→外,,Turf
58,障害 芝  内２周以上,,芝・内２周,,Turf
59,障害 芝  外２周以上,,芝・外２周,,Turf