値,名称,欧字名
000,記号なし または未設定・未整備時の初期値(主に地方競馬・海外国際レースに関するデータ),
001,(指定),DSN
002,"見習騎手 (2003年までの表記)
若手騎手 (2004年からの表記)",
003,[指定],DES
004,(特指),SD
020,牝,F&M
021,牝 (指定),F&M DSN
023,牝 [指定],F&M DES
024,牝 (特指),F&M SD
030,牡・ｾﾝ,C･G
031,牡・ｾﾝ (指定),C･G DSN
033,牡・ｾﾝ [指定],C･G DES
034,牡・ｾﾝ (特指),C･G SD
040,牡・牝,C･F
041,牡・牝 (指定),C･F DSN
043,牡・牝 [指定],C･F DES
044,牡・牝 (特指),C･F SD
A00,(混合),MIX
A01,(混合)(指定),MIX DSN
A02,"(混合) 見習騎手 (2003年までの表記)
(混合) 若手騎手 (2004年からの表記)",MIX
A03,(混合)[指定],MIX DES
A04,(混合)(特指),MIX SD
A10,(混合) 牡,MIX C
A11,(混合) 牡 (指定),MIX C
A13,(混合) 牡 [指定],MIX C DES
A14,(混合) 牡 (特指),MIX C SD
A20,(混合) 牝,MIX F&M
A21,(混合) 牝 (指定),MIX F&M DSN
A23,(混合) 牝 [指定],MIX F&M DES
A24,(混合) 牝 (特指),MIX F&M SD
A30,(混合) 牡・ｾﾝ,MIX C･G
A31,(混合) 牡・ｾﾝ (指定),MIX C･G DSN
A33,(混合) 牡・ｾﾝ [指定],MIX C･G DES
A34,(混合) 牡・ｾﾝ (特指),MIX C･G SD
A40,(混合) 牡・牝,MIX C･F
A41,(混合) 牡・牝 (指定),MIX C･F DSN
B00,(父),(D)
B01,(父)(指定),(D) DSN
B03,(父)[指定],(D) DES
B04,(父)(特指),(D) SD
C00,(市),(A)
C01,(市)(指定),(A) DSN
C03,(市)[指定],(A) DES
C04,(市)(特指),(A) SD
D00,(抽),(S)
D01,(抽)(指定),(S) DSN
D03,(抽)[指定],(S) DES
E00,[抽],
E01,[抽](指定),DSN
E03,[抽][指定],DES
F00,(市)(抽),(A)(S)
F01,(市)(抽)(指定),(A)(S) DSN
F03,(市)(抽)[指定],(A)(S) DES
F04,(市)(抽)(特指),(A)(S) SD
G00,(抽) 関西配布馬,
G01,(抽) 関西配布馬 (指定),DSN
G03,(抽) 関西配布馬 [指定],DES
H00,(抽) 関東配布馬,
H01,(抽) 関東配布馬 (指定),DSN
I00,[抽] 関西配布馬,
I01,[抽] 関西配布馬 (指定),DSN
I03,[抽] 関西配布馬 [指定],DES
J00,[抽] 関東配布馬,
J01,[抽] 関東配布馬 (指定),DSN
K00,(市)(抽) 関西配布馬,
K01,(市)(抽) 関西配布馬 (指定),DSN
K03,(市)(抽) 関西配布馬 [指定],DES
L00,(市)(抽) 関東配布馬,
L01,(市)(抽) 関東配布馬 (指定),DSN
L03,(市)(抽) 関東配布馬 [指定],DES
M00,九州産馬,
M01,九州産馬 (指定),DSN
M03,九州産馬 [指定],DES
M04,九州産馬 (特指),SD
N00,(国際),INT
N01,(国際)(指定),INT DSN
N03,(国際)[指定],INT DES
N04,(国際)(特指),INT SD
N20,(国際) 牝,INT F&M
N21,(国際) 牝 (指定),INT F&M DSN
N23,(国際) 牝 [指定],INT F&M DES
N24,(国際) 牝 (特指),INT F&M SD
N30,(国際) 牡・ｾﾝ,INT C･G
N31,(国際) 牡・ｾﾝ (指定),INT C･G DSN
N40,(国際) 牡・牝,INT C･F
N41,(国際) 牡・牝 (指定),INT C･F DSN
N44,(国際) 牡・牝 (特指),INT C･F SD